Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
262.0,312,104,3,3.5,4.0,8.09,0,0.71
263.0,308,103,2,2.5,4.0,8.36,1,0.7
264.0,324,111,3,2.5,1.5,8.79,1,0.7
265.0,325,110,2,3.0,2.5,8.76,1,0.75
266.0,313,102,3,2.5,2.5,8.68,0,0.71
267.0,312,105,2,2.0,2.5,8.45,0,0.72
268.0,314,107,3,3.0,3.5,8.17,1,0.73
269.0,327,113,4,4.5,5.0,9.14,0,0.83
270.0,308,108,4,4.5,5.0,8.34,0,0.77
271.0,306,105,2,2.5,3.0,8.22,1,0.72
272.0,299,96,2,1.5,2.0,7.86,0,0.54
273.0,294,95,1,1.5,1.5,7.64,0,0.49
274.0,312,99,1,1.0,1.5,8.01,1,0.52
275.0,315,100,1,2.0,2.5,7.95,0,0.58
276.0,322,110,3,3.5,3.0,8.96,1,0.78
277.0,329,113,5,5.0,4.5,9.45,1,0.89
278.0,320,101,2,2.5,3.0,8.62,0,0.7
279.0,308,103,2,3.0,3.5,8.49,0,0.66
280.0,304,102,2,3.0,4.0,8.73,0,0.67
281.0,311,102,3,4.5,4.0,8.64,1,0.68
282.0,317,110,3,4.0,4.5,9.11,1,0.8
283.0,312,106,3,4.0,3.5,8.79,1,0.81
284.0,321,111,3,2.5,3.0,8.9,1,0.8
285.0,340,112,4,5.0,4.5,9.66,1,0.94
286.0,331,116,5,4.0,4.0,9.26,1,0.93
287.0,336,118,5,4.5,4.0,9.19,1,0.92
288.0,324,114,5,5.0,4.5,9.08,1,0.89
289.0,314,104,4,5.0,5.0,9.02,0,0.82
290.0,313,109,3,4.0,3.5,9.0,0,0.79
291.0,307,105,2,2.5,3.0,7.65,0,0.58
292.0,300,102,2,1.5,2.0,7.87,0,0.56
293.0,302,99,2,1.0,2.0,7.97,0,0.56
294.0,312,98,1,3.5,3.0,8.18,1,0.64
295.0,316,101,2,2.5,2.0,8.32,1,0.61
296.0,317,100,2,3.0,2.5,8.57,0,0.68
297.0,310,107,3,3.5,3.5,8.67,0,0.76
298.0,320,120,3,4.0,4.5,9.11,0,0.86
299.0,330,114,3,4.5,4.5,9.24,1,0.9
300.0,305,112,3,3.0,3.5,8.65,0,0.71
301.0,309,106,2,2.5,2.5,8.0,0,0.62
302.0,319,108,2,2.5,3.0,8.76,0,0.66
303.0,322,105,2,3.0,3.0,8.45,1,0.65
304.0,323,107,3,3.5,3.5,8.55,1,0.73
305.0,313,106,2,2.5,2.0,8.43,0,0.62
306.0,321,109,3,3.5,3.5,8.8,1,0.74
307.0,323,110,3,4.0,3.5,9.1,1,0.79
308.0,325,112,4,4.0,4.0,9.0,1,0.8
309.0,312,108,3,3.5,3.0,8.53,0,0.69
310.0,308,110,4,3.5,3.0,8.6,0,0.7
311.0,320,104,3,3.0,3.5,8.74,1,0.76
312.0,328,108,4,4.5,4.0,9.18,1,0.84
313.0,311,107,4,4.5,4.5,9.0,1,0.78
314.0,301,100,3,3.5,3.0,8.04,0,0.67
315.0,305,105,2,3.0,4.0,8.13,0,0.66
316.0,308,104,2,2.5,3.0,8.07,0,0.65
317.0,298,101,2,1.5,2.0,7.86,0,0.54
318.0,300,99,1,1.0,2.5,8.01,0,0.58
319.0,324,111,3,2.5,2.0,8.8,1,0.79
320.0,327,113,4,3.5,3.0,8.69,1,0.8
321.0,317,106,3,4.0,3.5,8.5,1,0.75
322.0,323,104,3,4.0,4.0,8.44,1,0.73
323.0,314,107,2,2.5,4.0,8.27,0,0.72
324.0,305,102,2,2.0,2.5,8.18,0,0.62
325.0,315,104,3,3.0,2.5,8.33,0,0.67
326.0,326,116,3,3.5,4.0,9.14,1,0.81
327.0,299,100,3,2.0,2.0,8.02,0,0.63
328.0,295,101,2,2.5,2.0,7.86,0,0.69
329.0,324,112,4,4.0,3.5,8.77,1,0.8
330.0,297,96,2,2.5,1.5,7.89,0,0.43
331.0,327,113,3,3.5,3.0,8.66,1,0.8
332.0,311,105,2,3.0,2.0,8.12,1,0.73
333.0,308,106,3,3.5,2.5,8.21,1,0.75
334.0,319,108,3,3.0,3.5,8.54,1,0.71
335.0,312,107,4,4.5,4.0,8.65,1,0.73
336.0,325,111,4,4.0,4.5,9.11,1,0.83
337.0,319,110,3,3.0,2.5,8.79,0,0.72
338.0,332,118,5,5.0,5.0,9.47,1,0.94
339.0,323,108,5,4.0,4.0,8.74,1,0.81
340.0,324,107,5,3.5,4.0,8.66,1,0.81
341.0,312,107,3,3.0,3.0,8.46,1,0.75
342.0,326,110,3,3.5,3.5,8.76,1,0.79
343.0,308,106,3,3.0,3.0,8.24,0,0.58
344.0,305,103,2,2.5,3.5,8.13,0,0.59
345.0,295,96,2,1.5,2.0,7.34,0,0.47
346.0,316,98,1,1.5,2.0,7.43,0,0.49
347.0,304,97,2,1.5,2.0,7.64,0,0.47
348.0,299,94,1,1.0,1.0,7.34,0,0.42
349.0,302,99,1,2.0,2.0,7.25,0,0.57
350.0,313,101,3,2.5,3.0,8.04,0,0.62
351.0,318,107,3,3.0,3.5,8.27,1,0.74
352.0,325,110,4,3.5,4.0,8.67,1,0.73
353.0,303,100,2,3.0,3.5,8.06,1,0.64
354.0,300,102,3,3.5,2.5,8.17,0,0.63
355.0,297,98,2,2.5,3.0,7.67,0,0.59
356.0,317,106,2,2.0,3.5,8.12,0,0.73
357.0,327,109,3,3.5,4.0,8.77,1,0.79
358.0,301,104,2,3.5,3.5,7.89,1,0.68
359.0,314,105,2,2.5,2.0,7.64,0,0.7
360.0,321,107,2,2.0,1.5,8.44,0,0.81
361.0,322,110,3,4.0,5.0,8.64,1,0.85
362.0,334,116,4,4.0,3.5,9.54,1,0.93
363.0,338,115,5,4.5,5.0,9.23,1,0.91
364.0,306,103,2,2.5,3.0,8.36,0,0.69
365.0,313,102,3,3.5,4.0,8.9,1,0.77
366.0,330,114,4,4.5,3.0,9.17,1,0.86
367.0,320,104,3,3.5,4.5,8.34,1,0.74
368.0,311,98,1,1.0,2.5,7.46,0,0.57
369.0,298,92,1,2.0,2.0,7.88,0,0.51
370.0,301,98,1,2.0,3.0,8.03,1,0.67
371.0,310,103,2,2.5,2.5,8.24,0,0.72
372.0,324,110,3,3.5,3.0,9.22,1,0.89
373.0,336,119,4,4.5,4.0,9.62,1,0.95
374.0,321,109,3,3.0,3.0,8.54,1,0.79
375.0,315,105,2,2.0,2.5,7.65,0,0.39
376.0,304,101,2,2.0,2.5,7.66,0,0.38
377.0,297,96,2,2.5,2.0,7.43,0,0.34
378.0,290,100,1,1.5,2.0,7.56,0,0.47
379.0,303,98,1,2.0,2.5,7.65,0,0.56
380.0,311,99,1,2.5,3.0,8.43,1,0.71
381.0,322,104,3,3.5,4.0,8.84,1,0.78
382.0,319,105,3,3.0,3.5,8.67,1,0.73
383.0,324,110,4,4.5,4.0,9.15,1,0.82
384.0,300,100,3,3.0,3.5,8.26,0,0.62
385.0,340,113,4,5.0,5.0,9.74,1,0.96
386.0,335,117,5,5.0,5.0,9.82,1,0.96
387.0,302,101,2,2.5,3.5,7.96,0,0.46
388.0,307,105,2,2.0,3.5,8.1,0,0.53
389.0,296,97,2,1.5,2.0,7.8,0,0.49
390.0,320,108,3,3.5,4.0,8.44,1,0.76
391.0,314,102,2,2.0,2.5,8.24,0,0.64
392.0,318,106,3,2.0,3.0,8.65,0,0.71
393.0,326,112,4,4.0,3.5,9.12,1,0.84
394.0,317,104,2,3.0,3.0,8.76,0,0.77
395.0,329,111,4,4.5,4.0,9.23,1,0.89
396.0,324,110,3,3.5,3.5,9.04,1,0.82
397.0,325,107,3,3.0,3.5,9.11,1,0.84
398.0,330,116,4,5.0,4.5,9.45,1,0.91
399.0,312,103,3,3.5,4.0,8.78,0,0.67
400.0,333,117,4,5.0,4.0,9.66,1,0.95
401.0,304,100,2,3.5,3.0,8.22,0,0.63
402.0,315,105,2,3.0,3.0,8.34,0,0.66
403.0,324,109,3,3.5,3.0,8.94,1,0.78
404.0,330,116,4,4.0,3.5,9.23,1,0.91
405.0,311,101,3,2.0,2.5,7.64,1,0.62
406.0,302,99,3,2.5,3.0,7.45,0,0.52
407.0,322,103,4,3.0,2.5,8.02,1,0.61
408.0,298,100,3,2.5,4.0,7.95,1,0.58
409.0,297,101,3,2.0,4.0,7.67,1,0.57
410.0,300,98,1,2.0,2.5,8.02,0,0.61
411.0,301,96,1,3.0,4.0,7.56,0,0.54
412.0,313,94,2,2.5,1.5,8.13,0,0.56
413.0,314,102,4,2.5,2.0,7.88,1,0.59
414.0,317,101,3,3.0,2.0,7.94,1,0.49
415.0,321,110,4,3.5,4.0,8.35,1,0.72
416.0,327,106,4,4.0,4.5,8.75,1,0.76
417.0,315,104,3,4.0,2.5,8.1,0,0.65
418.0,316,103,3,3.5,2.0,7.68,0,0.52
419.0,309,111,2,2.5,4.0,8.03,0,0.6
420.0,308,102,2,2.0,3.5,7.98,1,0.58
421.0,299,100,3,2.0,3.0,7.42,0,0.42
422.0,321,112,3,3.0,4.5,8.95,1,0.77
423.0,322,112,4,3.5,2.5,9.02,1,0.73
424.0,334,119,5,4.5,5.0,9.54,1,0.94
425.0,325,114,5,4.0,5.0,9.46,1,0.91
426.0,323,111,5,4.0,5.0,9.86,1,0.92
427.0,312,106,3,3.0,5.0,8.57,0,0.71
428.0,310,101,3,3.5,5.0,8.65,1,0.71
429.0,316,103,2,2.0,4.5,8.74,0,0.69
430.0,340,115,5,5.0,4.5,9.06,1,0.95
431.0,311,104,3,4.0,3.5,8.13,1,0.74
432.0,320,112,2,3.5,3.5,8.78,1,0.73
433.0,324,112,4,4.5,4.0,9.22,1,0.86
434.0,316,111,4,4.0,5.0,8.54,0,0.71
435.0,306,103,3,3.5,3.0,8.21,0,0.64
436.0,309,105,2,2.5,4.0,7.68,0,0.55
437.0,310,110,1,1.5,4.0,7.23,1,0.58
438.0,317,106,1,1.5,3.5,7.65,1,0.61
439.0,318,110,1,2.5,3.5,8.54,1,0.67
440.0,312,105,2,1.5,3.0,8.46,0,0.66
441.0,305,104,2,2.5,1.5,7.79,0,0.53
442.0,332,112,1,1.5,3.0,8.66,1,0.79
443.0,331,116,4,4.5,4.5,9.44,1,0.92
444.0,321,114,5,4.5,4.5,9.16,1,0.87
445.0,324,113,5,4.0,5.0,9.25,1,0.92
446.0,328,116,5,4.5,5.0,9.08,1,0.91
447.0,327,118,4,5.0,5.0,9.67,1,0.93
448.0,320,108,3,3.5,5.0,8.97,1,0.84
449.0,312,109,2,2.5,4.0,9.02,0,0.8
450.0,315,101,3,3.5,4.5,9.13,0,0.79
451.0,320,112,4,3.0,4.5,8.86,1,0.82
452.0,324,113,4,4.5,4.5,9.25,1,0.89
453.0,328,116,4,5.0,3.5,9.6,1,0.93
454.0,319,103,3,2.5,4.0,8.76,1,0.73
455.0,310,105,2,3.0,3.5,8.01,0,0.71
456.0,305,102,2,1.5,2.5,7.64,0,0.59
457.0,299,100,2,2.0,2.0,7.88,0,0.51
458.0,295,99,1,2.0,1.5,7.57,0,0.37
459.0,312,100,1,3.0,3.0,8.53,1,0.69
460.0,329,113,4,4.0,3.5,9.36,1,0.89
461.0,319,105,4,4.0,4.5,8.66,1,0.77
462.0,301,102,3,2.5,2.0,8.13,1,0.68
463.0,307,105,4,3.0,3.0,7.94,0,0.62
464.0,304,107,3,3.5,3.0,7.86,0,0.57
465.0,298,97,2,2.0,3.0,7.21,0,0.45
466.0,305,96,4,3.0,4.5,8.26,0,0.54
467.0,314,99,4,3.5,4.5,8.73,1,0.71
468.0,318,101,5,3.5,5.0,8.78,1,0.78
469.0,323,110,4,4.0,5.0,8.88,1,0.81
470.0,326,114,4,4.0,3.5,9.16,1,0.86
471.0,320,110,5,4.0,4.0,9.27,1,0.87
472.0,311,103,3,2.0,4.0,8.09,0,0.64
473.0,327,116,4,4.0,4.5,9.48,1,0.9
474.0,316,102,2,4.0,3.5,8.15,0,0.67
475.0,308,105,4,3.0,2.5,7.95,1,0.67
476.0,300,101,3,3.5,2.5,7.88,0,0.59
477.0,304,104,3,2.5,2.0,8.12,0,0.62
478.0,309,105,4,3.5,2.0,8.18,0,0.65
479.0,318,103,3,4.0,4.5,8.49,1,0.71
480.0,325,110,4,4.5,4.0,8.96,1,0.79
481.0,321,102,3,3.5,4.0,9.01,1,0.8
482.0,323,107,4,3.0,2.5,8.48,1,0.78
483.0,328,113,4,4.0,2.5,8.77,1,0.83
484.0,304,103,5,5.0,3.0,7.92,0,0.71
485.0,317,106,3,3.5,3.0,7.89,1,0.73
486.0,311,101,2,2.5,3.5,8.34,1,0.7
487.0,319,102,3,2.5,2.5,8.37,0,0.68
488.0,327,115,4,3.5,4.0,9.14,0,0.79
489.0,322,112,3,3.0,4.0,8.62,1,0.76
490.0,302,110,3,4.0,4.5,8.5,0,0.65
491.0,307,105,2,2.5,4.5,8.12,1,0.67
492.0,297,99,4,3.0,3.5,7.81,0,0.54
493.0,298,101,4,2.5,4.5,7.69,1,0.53
494.0,300,95,2,3.0,1.5,8.22,1,0.62
495.0,301,99,3,2.5,2.0,8.45,1,0.68
496.0,332,108,5,4.5,4.0,9.02,1,0.87
